Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Carroll, Amy Sara",LTWR 140,SP21,27,19,0.9440000000000001,0.9440000000000001,6.71,3.74,3.56
"Ali, Mohammad Kazim",LTWR 8B,SP21,96,33,0.938,1.0,3.66,3.65,3.89
"Forbes, Camille",LTWR 8C,SP21,67,36,0.9390000000000001,0.909,3.29,3.6,3.29
"Blanco, John D",LTAM 110,WI21,38,14,0.846,0.8,4.36,3.33,3.75
"Liao, Ping H",LTEA 110A,WI21,76,16,0.938,0.938,5.43,3.8,3.58
"Mendoza, Andrea",LTEA 138,WI21,314,89,0.988,0.976,4.15,3.98,3.92
"Lee, Jin-Kyung",LTEA 142,WI21,158,60,0.825,0.836,4.36,3.91,3.95
"Lerer, Seth",LTEN 107,WI21,31,7,1.0,1.0,5.36,3.57,3.74
"Nicolazzo, Sarah E.",LTEN 120,WI21,26,7,0.857,1.0,3.64,3.71,3.84
"Walkiewicz, Kathryn A",LTEN 152,WI21,40,9,0.889,1.0,6.5,3.88,3.76
"Suzuki, Erin M.",LTEN 159,WI21,38,11,1.0,1.0,4.14,3.82,3.7
"Ruiz, Ariana",LTEN 180,WI21,20,8,1.0,1.0,4.75,3.75,3.68
"Nicolazzo, Sarah E.",LTEN 22,WI21,63,29,1.0,1.0,5.33,3.86,3.79
"Johnson, Sara E.",LTEN 25,WI21,43,27,1.0,1.0,4.5,3.73,3.57
"Childs, Dennis R.",LTEN 27,WI21,62,31,1.0,0.968,5.79,3.43,3.62
"Jed, Stephanie H",LTEU 105,WI21,39,11,0.909,1.0,3.7,3.82,4.0
"Verdicchio, Pasquale",LTEU 140,WI21,31,8,1.0,1.0,5.75,3.86,3.82
"Fischer-Grunski, Eva K",LTGM 2B,WI21,21,9,1.0,1.0,5.61,3.88,3.54
"Lee, Don Uk",LTKO 1B,WI21,24,12,1.0,0.917,4.67,3.75,3.86
"Lee, Don Uk",LTKO 1B,WI21,25,11,1.0,1.0,5.05,3.71,3.75
"Yim, Nancy",LTKO 1B,WI21,24,8,0.875,0.875,6.25,4.0,3.62
"Yim, Nancy",LTKO 1B,WI21,27,14,1.0,0.9229999999999999,5.12,4.0,3.53
"Lee, Jeyseon",LTKO 1B,WI21,26,9,0.889,1.0,6.5,3.63,3.73
"Lee, Jeyseon",LTKO 2B,WI21,23,7,1.0,1.0,5.64,3.83,3.76
"Murray, Kourtney Kristine",LTLA 2,WI21,37,13,0.917,1.0,4.17,3.75,3.77
"Wells, Patricia Rebecca",LTRU 1B,WI21,21,8,1.0,1.0,5.0,3.88,3.92
"Parra, Max",LTSP 135B,WI21,26,9,1.0,1.0,7.61,3.67,3.59
"Chacon, Gloria Elizabeth",LTSP 172,WI21,22,10,1.0,1.0,6.5,3.5,3.48
"Chacon, Gloria Elizabeth",LTSP 174,WI21,31,6,1.0,1.0,8.83,3.33,3.68
"Caro Melendez, Eduardo",LTSP 2B,WI21,27,13,1.0,0.9229999999999999,2.96,3.92,3.57
"Caro Melendez, Eduardo",LTSP 2B,WI21,26,12,0.889,0.889,4.5,4.0,3.53
"Caro Melendez, Eduardo",LTSP 2B,WI21,26,13,0.9229999999999999,1.0,3.42,3.85,3.4
"Dominguez, Noelia",LTSP 2C,WI21,27,14,1.0,1.0,4.5,3.4,3.27
"Dominguez, Noelia",LTSP 2C,WI21,25,9,0.889,0.889,3.5,3.57,3.41
"Dominguez, Noelia",LTSP 2C,WI21,22,6,1.0,1.0,3.83,3.5,3.66
"De Marchi Gherini, Adriana",LTWL 172,WI21,47,18,1.0,1.0,3.17,3.94,4.0
"Kelting, Edward William",LTWL 19B,WI21,32,11,1.0,1.0,4.68,3.3,3.41
"Hoang, Lily Kim",LTWR 100,WI21,24,12,1.0,1.0,6.0,3.91,3.91
"Doller, Ben",LTWR 102,WI21,26,7,1.0,1.0,3.07,3.86,3.8
"Hoang, Lily Kim",LTWR 104B,WI21,23,5,1.0,1.0,9.3,4.0,3.82
"Springer, Anna Joy",LTWR 106,WI21,22,12,1.0,1.0,5.17,3.75,3.92
"Carroll, Amy Sara",LTWR 115,WI21,21,6,1.0,1.0,8.17,3.8,3.41
"Darini, Bruna Maria",LTWR 148,WI21,21,6,1.0,1.0,5.83,4.0,3.9
"Jemc, Jaclyn",LTWR 8A,WI21,98,50,0.98,0.98,4.58,3.88,3.76
"Carroll, Amy Sara",LTWR 8C,WI21,64,36,0.8,0.8859999999999999,4.04,3.76,3.58
"Martin-Cabrera, Luis",LTAM 110,FA20,53,13,1.0,1.0,5.27,3.75,3.45
"Liao, Ping H",LTCH 101,FA20,79,25,0.92,0.875,6.26,3.92,3.66
"Nguyen, Hoang Tan",LTCS 119,FA20,29,15,0.867,0.9329999999999999,3.3,3.55,3.59
"Liao, Ping H",LTEA 120B,FA20,144,50,0.804,0.867,6.41,3.41,3.36
"Miyao, Daisuke",LTEA 138,FA20,318,124,1.0,1.0,4.04,3.97,3.91
"Vitkus, Daniel J.",LTEN 113,FA20,28,12,0.917,1.0,7.83,3.18,3.31
"Loose, Margaret",LTEN 124,FA20,32,13,0.917,0.917,5.5,3.82,3.87
"Nicolazzo, Sarah E.",LTEN 125,FA20,38,15,1.0,1.0,4.5,3.87,3.94
"O'Brien, William Arctander",LTEN 176,FA20,21,11,0.818,0.818,3.41,3.73,3.74
"Walkiewicz, Kathryn A",LTEN 178,FA20,25,11,1.0,1.0,6.86,3.73,3.76
"Vitkus, Daniel J.",LTEN 21,FA20,58,31,0.903,1.0,6.31,3.42,2.85
"Wesling, Megan E.",LTEN 26,FA20,67,41,0.9740000000000001,0.972,4.35,3.88,3.6
"Walkiewicz, Kathryn A",LTEN 31,FA20,38,21,1.0,1.0,5.36,3.81,3.5
"De Marchi Gherini, Adriana",LTEU 100,FA20,45,20,1.0,1.0,4.0,3.85,3.93
